tau,q,ask_depth
9.500000000000000000e+03,-2.900000000000000000e+01,1.212763749929772539e+00
9.500000000000000000e+03,-2.800000000000000000e+01,1.191897962207115524e+00
9.500000000000000000e+03,-2.700000000000000000e+01,1.170763962905360556e+00
9.500000000000000000e+03,-2.600000000000000000e+01,1.149361006010978237e+00
9.500000000000000000e+03,-2.500000000000000000e+01,1.127688807561625151e+00
9.500000000000000000e+03,-2.400000000000000000e+01,1.105747590097826194e+00
9.500000000000000000e+03,-2.300000000000000000e+01,1.083538128436288384e+00
9.500000000000000000e+03,-2.200000000000000000e+01,1.061061796370924348e+00
9.500000000000000000e+03,-2.100000000000000000e+01,1.038320613819578853e+00
9.500000000000000000e+03,-2.000000000000000000e+01,1.015317293840883206e+00
9.500000000000000000e+03,-1.900000000000000000e+01,9.920552888487700338e-01
9.500000000000000000e+03,-1.800000000000000000e+01,9.685388352546754342e-01
9.500000000000000000e+03,-1.700000000000000000e+01,9.447729956729942202e-01
9.500000000000000000e+03,-1.600000000000000000e+01,9.207636977380256882e-01
9.500000000000000000e+03,-1.500000000000000000e+01,8.965177685056664458e-01
9.500000000000000000e+03,-1.400000000000000000e+01,8.720429633559489968e-01
9.500000000000000000e+03,-1.300000000000000000e+01,8.473479882790965201e-01
9.500000000000000000e+03,-1.200000000000000000e+01,8.224425144244111863e-01
9.500000000000000000e+03,-1.100000000000000000e+01,7.973371838234948328e-01
9.500000000000000000e+03,-1.000000000000000000e+01,7.720436052723916864e-01
9.500000000000000000e+03,-9.000000000000000000e+00,7.465743394748586281e-01
9.500000000000000000e+03,-8.000000000000000000e+00,7.209428727131227399e-01
9.500000000000000000e+03,-7.000000000000000000e+00,6.951635785231201625e-01
9.500000000000000000e+03,-6.000000000000000000e+00,6.692516671048729382e-01
9.500000000000000000e+03,-5.000000000000000000e+00,6.432231224898191657e-01
9.500000000000000000e+03,-4.000000000000000000e+00,6.170946278060426282e-01
9.500000000000000000e+03,-3.000000000000000000e+00,5.908834793179568168e-01
9.500000000000000000e+03,-2.000000000000000000e+00,5.646074902543936069e-01
9.500000000000000000e+03,-1.000000000000000000e+00,5.382848857628808048e-01
9.500000000000000000e+03,0.000000000000000000e+00,5.119341906213714655e-01
9.500000000000000000e+03,1.000000000000000000e+00,4.855741115864428692e-01
9.500000000000000000e+03,2.000000000000000000e+00,4.592234164449341405e-01
9.500000000000000000e+03,3.000000000000000000e+00,4.329008119534207277e-01
9.500000000000000000e+03,4.000000000000000000e+00,4.066248228898569628e-01
9.500000000000000000e+03,5.000000000000000000e+00,3.804136744017719840e-01
9.500000000000000000e+03,6.000000000000000000e+00,3.542851797179971118e-01
9.500000000000000000e+03,7.000000000000000000e+00,3.282566351029416740e-01
9.500000000000000000e+03,8.000000000000000000e+00,3.023447236846957820e-01
9.500000000000000000e+03,9.000000000000000000e+00,2.765654294946906511e-01
9.500000000000000000e+03,1.000000000000000000e+01,2.509339627329566502e-01
9.500000000000000000e+03,1.100000000000000000e+01,2.254646969354217600e-01
9.500000000000000000e+03,1.200000000000000000e+01,2.001711183843200570e-01
9.500000000000000000e+03,1.300000000000000000e+01,1.750657877834032039e-01
9.500000000000000000e+03,1.400000000000000000e+01,1.501603139287183142e-01
9.500000000000000000e+03,1.500000000000000000e+01,1.254653388518655599e-01
9.500000000000000000e+03,1.600000000000000000e+01,1.009905337021487215e-01
9.500000000000000000e+03,1.700000000000000000e+01,7.674460446978892403e-02
9.500000000000000000e+03,1.800000000000000000e+01,5.273530653481922625e-02
9.500000000000000000e+03,1.900000000000000000e+01,2.896946695313989961e-02
9.500000000000000000e+03,2.000000000000000000e+01,5.453013359044578401e-03
9.500000000000000000e+03,2.100000000000000000e+01,-1.780899163306864930e-02
9.500000000000000000e+03,2.200000000000000000e+01,-4.081231161176462896e-02
9.500000000000000000e+03,2.300000000000000000e+01,-6.355349416311012467e-02
9.500000000000000000e+03,2.400000000000000000e+01,-8.602982622847360483e-02
9.500000000000000000e+03,2.500000000000000000e+01,-1.082392878900095279e-01
9.500000000000000000e+03,2.600000000000000000e+01,-1.301805053538097057e-01
9.500000000000000000e+03,2.700000000000000000e+01,-1.518527038031649012e-01
9.500000000000000000e+03,2.800000000000000000e+01,-1.732556606975451108e-01
9.500000000000000000e+03,2.900000000000000000e+01,-1.943896599993009677e-01
9.500000000000000000e+03,3.000000000000000000e+01,-2.152554477219568718e-01
9.666666666666666060e+03,-3.000000000000000000e+01,1.233362491320563636e+00
9.666666666666666060e+03,-2.900000000000000000e+01,1.212763749929772539e+00
9.666666666666666060e+03,-2.800000000000000000e+01,1.191897962207115524e+00
9.666666666666666060e+03,-2.700000000000000000e+01,1.170763962905360556e+00
9.666666666666666060e+03,-2.600000000000000000e+01,1.149361006010978237e+00
9.666666666666666060e+03,-2.500000000000000000e+01,1.127688807561625151e+00
9.666666666666666060e+03,-2.400000000000000000e+01,1.105747590097826194e+00
9.666666666666666060e+03,-2.300000000000000000e+01,1.083538128436288384e+00
9.666666666666666060e+03,-2.200000000000000000e+01,1.061061796370924348e+00
9.666666666666666060e+03,-2.100000000000000000e+01,1.038320613819578853e+00
9.666666666666666060e+03,-2.000000000000000000e+01,1.015317293840883206e+00
9.666666666666666060e+03,-1.900000000000000000e+01,9.920552888487700338e-01
9.666666666666666060e+03,-1.800000000000000000e+01,9.685388352546754342e-01
9.666666666666666060e+03,-1.700000000000000000e+01,9.447729956729942202e-01
9.666666666666666060e+03,-1.600000000000000000e+01,9.207636977380256882e-01
9.666666666666666060e+03,-1.500000000000000000e+01,8.965177685056664458e-01
9.666666666666666060e+03,-1.400000000000000000e+01,8.720429633559489968e-01
9.666666666666666060e+03,-1.300000000000000000e+01,8.473479882790965201e-01
9.666666666666666060e+03,-1.200000000000000000e+01,8.224425144244111863e-01
9.666666666666666060e+03,-1.100000000000000000e+01,7.973371838234948328e-01
9.666666666666666060e+03,-1.000000000000000000e+01,7.720436052723916864e-01
9.666666666666666060e+03,-9.000000000000000000e+00,7.465743394748586281e-01
9.666666666666666060e+03,-8.000000000000000000e+00,7.209428727131227399e-01
9.666666666666666060e+03,-7.000000000000000000e+00,6.951635785231201625e-01
9.666666666666666060e+03,-6.000000000000000000e+00,6.692516671048729382e-01
9.666666666666666060e+03,-5.000000000000000000e+00,6.432231224898191657e-01
9.666666666666666060e+03,-4.000000000000000000e+00,6.170946278060426282e-01
9.666666666666666060e+03,-3.000000000000000000e+00,5.908834793179568168e-01
9.666666666666666060e+03,-2.000000000000000000e+00,5.646074902543936069e-01
9.666666666666666060e+03,-1.000000000000000000e+00,5.382848857628808048e-01
9.666666666666666060e+03,0.000000000000000000e+00,5.119341906213714655e-01
9.666666666666666060e+03,1.000000000000000000e+00,4.855741115864428692e-01
9.666666666666666060e+03,2.000000000000000000e+00,4.592234164449341405e-01
9.666666666666666060e+03,3.000000000000000000e+00,4.329008119534207277e-01
9.666666666666666060e+03,4.000000000000000000e+00,4.066248228898569628e-01
9.666666666666666060e+03,5.000000000000000000e+00,3.804136744017719840e-01
9.666666666666666060e+03,6.000000000000000000e+00,3.542851797179971118e-01
9.666666666666666060e+03,7.000000000000000000e+00,3.282566351029416740e-01
9.666666666666666060e+03,8.000000000000000000e+00,3.023447236846957820e-01
9.666666666666666060e+03,9.000000000000000000e+00,2.765654294946906511e-01
9.666666666666666060e+03,1.000000000000000000e+01,2.509339627329566502e-01
9.666666666666666060e+03,1.100000000000000000e+01,2.254646969354217600e-01
9.666666666666666060e+03,1.200000000000000000e+01,2.001711183843200570e-01
9.666666666666666060e+03,1.300000000000000000e+01,1.750657877834032039e-01
9.666666666666666060e+03,1.400000000000000000e+01,1.501603139287183142e-01
9.666666666666666060e+03,1.500000000000000000e+01,1.254653388518655599e-01
9.666666666666666060e+03,1.600000000000000000e+01,1.009905337021487215e-01
9.666666666666666060e+03,1.700000000000000000e+01,7.674460446978892403e-02
9.666666666666666060e+03,1.800000000000000000e+01,5.273530653481922625e-02
9.666666666666666060e+03,1.900000000000000000e+01,2.896946695313989961e-02
9.666666666666666060e+03,2.000000000000000000e+01,5.453013359044578401e-03
9.666666666666666060e+03,2.100000000000000000e+01,-1.780899163306864930e-02
9.666666666666666060e+03,2.200000000000000000e+01,-4.081231161176462896e-02
9.666666666666666060e+03,2.300000000000000000e+01,-6.355349416311012467e-02
9.666666666666666060e+03,2.400000000000000000e+01,-8.602982622847360483e-02
9.666666666666666060e+03,2.500000000000000000e+01,-1.082392878900095279e-01
9.666666666666666060e+03,2.600000000000000000e+01,-1.301805053538097057e-01
9.666666666666666060e+03,2.700000000000000000e+01,-1.518527038031649012e-01
9.666666666666666060e+03,2.800000000000000000e+01,-1.732556606975451108e-01
9.666666666666666060e+03,2.900000000000000000e+01,-1.943896599993009677e-01
9.666666666666666060e+03,3.000000000000000000e+01,-2.152554477219568718e-01
9.833333333333332121e+03,-3.000000000000000000e+01,1.233362491320563636e+00
9.833333333333332121e+03,-2.900000000000000000e+01,1.212763749929772539e+00
9.833333333333332121e+03,-2.800000000000000000e+01,1.191897962207115524e+00
9.833333333333332121e+03,-2.700000000000000000e+01,1.170763962905360556e+00
9.833333333333332121e+03,-2.600000000000000000e+01,1.149361006010978237e+00
9.833333333333332121e+03,-2.500000000000000000e+01,1.127688807561625151e+00
9.833333333333332121e+03,-2.400000000000000000e+01,1.105747590097826194e+00
9.833333333333332121e+03,-2.300000000000000000e+01,1.083538128436288384e+00
9.833333333333332121e+03,-2.200000000000000000e+01,1.061061796370924348e+00
9.833333333333332121e+03,-2.100000000000000000e+01,1.038320613819578853e+00
9.833333333333332121e+03,-2.000000000000000000e+01,1.015317293840883206e+00
9.833333333333332121e+03,-1.900000000000000000e+01,9.920552888487700338e-01
9.833333333333332121e+03,-1.800000000000000000e+01,9.685388352546754342e-01
9.833333333333332121e+03,-1.700000000000000000e+01,9.447729956729942202e-01
9.833333333333332121e+03,-1.600000000000000000e+01,9.207636977380256882e-01
9.833333333333332121e+03,-1.500000000000000000e+01,8.965177685056664458e-01
9.833333333333332121e+03,-1.400000000000000000e+01,8.720429633559489968e-01
9.833333333333332121e+03,-1.300000000000000000e+01,8.473479882790965201e-01
9.833333333333332121e+03,-1.200000000000000000e+01,8.224425144244111863e-01
9.833333333333332121e+03,-1.100000000000000000e+01,7.973371838234948328e-01
9.833333333333332121e+03,-1.000000000000000000e+01,7.720436052723916864e-01
9.833333333333332121e+03,-9.000000000000000000e+00,7.465743394748586281e-01
9.833333333333332121e+03,-8.000000000000000000e+00,7.209428727131227399e-01
9.833333333333332121e+03,-7.000000000000000000e+00,6.951635785231201625e-01
9.833333333333332121e+03,-6.000000000000000000e+00,6.692516671048729382e-01
9.833333333333332121e+03,-5.000000000000000000e+00,6.432231224898191657e-01
9.833333333333332121e+03,-4.000000000000000000e+00,6.170946278060426282e-01
9.833333333333332121e+03,-3.000000000000000000e+00,5.908834793179568168e-01
9.833333333333332121e+03,-2.000000000000000000e+00,5.646074902543936069e-01
9.833333333333332121e+03,-1.000000000000000000e+00,5.382848857628808048e-01
9.833333333333332121e+03,0.000000000000000000e+00,5.119341906213714655e-01
9.833333333333332121e+03,1.000000000000000000e+00,4.855741115864428692e-01
9.833333333333332121e+03,2.000000000000000000e+00,4.592234164449341405e-01
9.833333333333332121e+03,3.000000000000000000e+00,4.329008119534207277e-01
9.833333333333332121e+03,4.000000000000000000e+00,4.066248228898569628e-01
9.833333333333332121e+03,5.000000000000000000e+00,3.804136744017719840e-01
9.833333333333332121e+03,6.000000000000000000e+00,3.542851797179971118e-01
9.833333333333332121e+03,7.000000000000000000e+00,3.282566351029416740e-01
9.833333333333332121e+03,8.000000000000000000e+00,3.023447236846957820e-01
9.833333333333332121e+03,9.000000000000000000e+00,2.765654294946906511e-01
9.833333333333332121e+03,1.000000000000000000e+01,2.509339627329566502e-01
9.833333333333332121e+03,1.100000000000000000e+01,2.254646969354217600e-01
9.833333333333332121e+03,1.200000000000000000e+01,2.001711183843200570e-01
9.833333333333332121e+03,1.300000000000000000e+01,1.750657877834032039e-01
9.833333333333332121e+03,1.400000000000000000e+01,1.501603139287183142e-01
9.833333333333332121e+03,1.500000000000000000e+01,1.254653388518655599e-01
9.833333333333332121e+03,1.600000000000000000e+01,1.009905337021487215e-01
9.833333333333332121e+03,1.700000000000000000e+01,7.674460446978892403e-02
9.833333333333332121e+03,1.800000000000000000e+01,5.273530653481922625e-02
9.833333333333332121e+03,1.900000000000000000e+01,2.896946695313989961e-02
9.833333333333332121e+03,2.000000000000000000e+01,5.453013359044578401e-03
9.833333333333332121e+03,2.100000000000000000e+01,-1.780899163306864930e-02
9.833333333333332121e+03,2.200000000000000000e+01,-4.081231161176462896e-02
9.833333333333332121e+03,2.300000000000000000e+01,-6.355349416311012467e-02
9.833333333333332121e+03,2.400000000000000000e+01,-8.602982622847360483e-02
9.833333333333332121e+03,2.500000000000000000e+01,-1.082392878900095279e-01
9.833333333333332121e+03,2.600000000000000000e+01,-1.301805053538097057e-01
9.833333333333332121e+03,2.700000000000000000e+01,-1.518527038031649012e-01
9.833333333333332121e+03,2.800000000000000000e+01,-1.732556606975451108e-01
9.833333333333332121e+03,2.900000000000000000e+01,-1.943896599993009677e-01
9.833333333333332121e+03,3.000000000000000000e+01,-2.152554477219568718e-01
1.000000000000000000e+04,-3.000000000000000000e+01,1.233362491320563636e+00
1.000000000000000000e+04,-2.900000000000000000e+01,1.212763749929772539e+00
1.000000000000000000e+04,-2.800000000000000000e+01,1.191897962207115524e+00
1.000000000000000000e+04,-2.700000000000000000e+01,1.170763962905360556e+00
1.000000000000000000e+04,-2.600000000000000000e+01,1.149361006010978237e+00
1.000000000000000000e+04,-2.500000000000000000e+01,1.127688807561625151e+00
1.000000000000000000e+04,-2.400000000000000000e+01,1.105747590097826194e+00
1.000000000000000000e+04,-2.300000000000000000e+01,1.083538128436288384e+00
1.000000000000000000e+04,-2.200000000000000000e+01,1.061061796370924348e+00
1.000000000000000000e+04,-2.100000000000000000e+01,1.038320613819578853e+00
1.000000000000000000e+04,-2.000000000000000000e+01,1.015317293840883206e+00
1.000000000000000000e+04,-1.900000000000000000e+01,9.920552888487700338e-01
1.000000000000000000e+04,-1.800000000000000000e+01,9.685388352546754342e-01
1.000000000000000000e+04,-1.700000000000000000e+01,9.447729956729942202e-01
1.000000000000000000e+04,-1.600000000000000000e+01,9.207636977380256882e-01
1.000000000000000000e+04,-1.500000000000000000e+01,8.965177685056664458e-01
1.000000000000000000e+04,-1.400000000000000000e+01,8.720429633559489968e-01
1.000000000000000000e+04,-1.300000000000000000e+01,8.473479882790965201e-01
1.000000000000000000e+04,-1.200000000000000000e+01,8.224425144244111863e-01
1.000000000000000000e+04,-1.100000000000000000e+01,7.973371838234948328e-01
1.000000000000000000e+04,-1.000000000000000000e+01,7.720436052723916864e-01
1.000000000000000000e+04,-9.000000000000000000e+00,7.465743394748586281e-01
1.000000000000000000e+04,-8.000000000000000000e+00,7.209428727131227399e-01
1.000000000000000000e+04,-7.000000000000000000e+00,6.951635785231201625e-01
1.000000000000000000e+04,-6.000000000000000000e+00,6.692516671048729382e-01
1.000000000000000000e+04,-5.000000000000000000e+00,6.432231224898191657e-01
1.000000000000000000e+04,-4.000000000000000000e+00,6.170946278060426282e-01
1.000000000000000000e+04,-3.000000000000000000e+00,5.908834793179568168e-01
1.000000000000000000e+04,-2.000000000000000000e+00,5.646074902543936069e-01
1.000000000000000000e+04,-1.000000000000000000e+00,5.382848857628808048e-01
1.000000000000000000e+04,0.000000000000000000e+00,5.119341906213714655e-01
1.000000000000000000e+04,1.000000000000000000e+00,4.855741115864428692e-01
